,0
A2A.MI,A2A
AMP.MI,Amplifon
AZM.MI,Azimut
BGN.MI,Banca Generali
BAMI.MI,Banco BPM
BMED.MI,Banca Mediolanum
BPE.MI,BPER
BZU.MI,Buzzi
CPR.MI,Campari
CNHI.MI,CNH Industrial
DIA.MI,DiaSorin
ENEL.MI,Enel
ENI.MI,Eni
RACE.MI,Ferrari
FBK.MI,FinecoBank
G.MI,Generali
HER.MI,Hera
IP.MI,Interpump
ISP.MI,Intesa Sanpaolo
INW.MI,Inwit
IG.MI,Italgas
IVG.MI,Iveco
LDO.MI,Leonardo
MB.MI,Mediobanca
MONC.MI,Moncler
NEXI.MI,Nexi
PIRC.MI,Pirelli
PST.MI,Poste Italiane
PRY.MI,Prysmian
REC.MI,Recordati
SPM.MI,Saipem
SRG.MI,Snam
STLAM.MI,Stellantis
STMMI.MI,STMicroelectronics
TEN.MI,Tenaris
TRN.MI,Terna
TIT.MI,Telecom Italia
UCG.MI,UniCredit
UNI.MI,Unipol
BMPS.MI,Banca MPS
JUVE.MI,Juventus FC
SFER.MI,Salvatore Ferragamo
MFEA.MI,Mediaset / MFE
ATL.MI,Atlantia
UBI.MI,UBI Banca
LUX.MI,Luxottica
FCA.MI,Fiat Chrysler
EXO.MI,Exor
US.MI,UnipolSai
YNAP.MI,Yoox Net-A-Porter
