,shares
A2A.MI,3116447137.7911725
AMP.MI,263735076.20750192
AZM.MI,140615286.5137967
BAMI.MI,1497518503.5814748
BGN.MI,113128021.76887152
BMED.MI,732245670.251437
BMPS.MI,3007946073.7719626
BPE.MI,2070567591.0283437
BZU.MI,174969510.84592968
CPR.MI,1194016530.8929904
DIA.MI,49711058.0
ENEL.MI,9896449572.823006
ENI.MI,2949479804.922685
FBK.MI,606624520.8806996
G.MI,1491549744.8255525
HER.MI,1476808348.154651
IG.MI,1016334190.9999999
INW.MI,896787459.7171421
IP.MI,104292425.40207332
ISP.MI,17291457473.603535
IVG.MI,266251095.88540256
LDO.MI,570805547.830917
MB.MI,797788699.7458531
MONC.MI,269206548.56035936
NEXI.MI,1168084308.9057524
PIRC.MI,1078667330.938227
PRY.MI,289508486.4659012
PST.MI,1287643389.4431465
RACE.MI,175449298.5112738
REC.MI,203262857.18239176
SPM.MI,1945564812.263
SRG.MI,3353667397.189798
STLAM.MI,2874871017.881989
STMMI.MI,887370486.6174383
TEN.MI,1011933502.5544944
TIT.MI,21201989494.46079
TRN.MI,2006757872.0
UCG.MI,1481416964.8996084
UNI.MI,712554389.5775207
JUVE.MI,414616438.66491675
MFEA.MI,693987898.3197547
SFER.MI,163858575.73357365
YNAP.MI,
